line,station_name,longitude,latitude,gu_name,dong_name,full_name
01호선,남영,37.541021,126.9713,용산구,남영동,서울특별시 용산구 남영동
01호선,용산,37.529849,126.964561,용산구,한강로동,서울특별시 용산구 한강로동
01호선,노량진,37.514219,126.942454,동작구,노량진1동,서울특별시 동작구 노량진1동
01호선,대방,37.513342,126.926382,영등포구,신길7동,서울특별시 영등포구 신길7동
01호선,영등포,37.515504,126.907628,영등포구,영등포본동,서울특별시 영등포구 영등포본동
01호선,신도림,37.508725,126.891295,구로구,구로5동,서울특별시 구로구 구로5동
01호선,회기,37.58946,127.057583,동대문구,휘경1동,서울특별시 동대문구 휘경1동
01호선,외대앞,37.596073,127.063549,동대문구,이문1동,서울특별시 동대문구 이문1동
01호선,신이문,37.601854,127.067325,동대문구,이문2동,서울특별시 동대문구 이문2동
01호선,광운대,37.623632,127.061835,노원구,월계1동,서울특별시 노원구 월계1동
01호선,월계,37.633212,127.058831,노원구,월계2동,서울특별시 노원구 월계2동
01호선,녹천,37.644799,127.051269,도봉구,창1동,서울특별시 도봉구 창1동
01호선,창동,37.653166,127.047731,도봉구,창5동,서울특별시 도봉구 창5동
01호선,신길,37.517122,126.917169,영등포구,신길1동,서울특별시 영등포구 신길1동
01호선,석계,37.614805,127.065851,성북구,석관동,서울특별시 성북구 석관동
01호선,구로,37.503039,126.881966,구로구,구로5동,서울특별시 구로구 구로5동
01호선,가산디지털단지,37.481072,126.882343,금천구,가산동,서울특별시 금천구 가산동
01호선,금천구청,37.455626,126.89398,금천구,시흥1동,서울특별시 금천구 시흥1동
01호선,독산,37.466613,126.889249,금천구,가산동,서울특별시 금천구 가산동
01호선,개봉,37.494594,126.85868,구로구,개봉2동,서울특별시 구로구 개봉2동
01호선,오류동,37.494526,126.845365,구로구,오류2동,서울특별시 구로구 오류2동
01호선,구일,37.496756,126.870793,구로구,구로2동,서울특별시 구로구 구로2동
01호선,온수,37.492258,126.823388,구로구,수궁동,서울특별시 구로구 수궁동
01호선,방학,37.667503,127.044273,도봉구,방학1동,서울특별시 도봉구 방학1동
01호선,도봉,37.679563,127.045595,도봉구,도봉2동,서울특별시 도봉구 도봉2동
01호선,도봉산,37.689313,127.046222,도봉구,도봉2동,서울특별시 도봉구 도봉2동
01호선,종로3가,37.571607,126.991806,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
01호선,종로5가,37.570926,127.001849,종로구,종로5.6가동,서울특별시 종로구 종로5.6가동
01호선,동대문,37.57142,127.009745,종로구,종로5.6가동,서울특별시 종로구 종로5.6가동
01호선,신설동,37.575297,127.025087,동대문구,용신동,서울특별시 동대문구 용신동
01호선,제기동,37.578103,127.034893,동대문구,용신동,서울특별시 동대문구 용신동
01호선,청량리,37.580178,127.046835,동대문구,전농1동,서울특별시 동대문구 전농1동
